编号      名称                          面积百分比
1         SP0236                        0.08%
2         SP0237                        0.20%
3         SP0238                        0.09%
4         SP0239                        0.14%
5         SP0250                        0.15%
6         SP0649                        0.07%
7         SP0665                        1.11%
8         SP0802                        9.68%
9         SP0803                        4.13%
10        SP0804                        1.00%
11        SP0805                        2.26%
12        SP0806                        2.35%
13        SP0807                        0.40%
14        SP1001                        0.56%
15        SP1003                        7.56%
16        SP1005                        0.86%
17        SP1006                        1.52%
18        SP1007                        1.27%
19        SP1008                        0.54%
20        SP1010                        0.63%
21        SP1012                        1.53%
22        SP1016                        2.65%
23        SP1017                        1.79%
24        SP1018                        3.46%
25        SP1019                        9.33%
26        SP1020                        12.24%
27        SP1021                        9.27%
28        SP1022                        1.70%
29        SP1023                        3.68%
30        X004                          0.66%
31        X005                          1.68%
32        X006                          2.18%
33        X007                          1.74%
34        X008                          2.87%
35        X009                          1.66%
36        X010                          0.91%
37        X011                          1.47%
38        X012                          0.91%
39        X013                          1.57%
40        X014                          0.91%
41        X015                          0.51%
42        X016                          1.33%
43        X018                          0.90%
44        X022                          0.17%
45        X024                          0.16%
46        X025                          0.00%
47        X026                          0.13%
