编号      名称                          面积百分比
1         SP0065                        0.45%
2         SP0069                        1.55%
3         SP0084                        0.21%
4         SP0133                        2.74%
5         SP0136                        1.40%
6         SP0138                        1.88%
7         SP0206                        2.00%
8         SP0209                        1.66%
9         SP0212                        1.11%
10        SP0241                        0.82%
11        SP0242                        2.81%
12        SP0269                        0.54%
13        SP0270                        1.26%
14        SP0271                        11.13%
15        SP0273                        0.41%
16        SP0284                        0.09%
17        SP0305                        3.91%
18        SP0316                        19.97%
19        SP0318                        2.45%
20        SP0319                        4.12%
21        SP0321                        1.18%
22        SP0471                        1.18%
23        SP0501                        1.40%
24        SP0513                        0.65%
25        SP0518                        0.57%
26        SP0680                        3.37%
27        SP0703                        1.52%
28        SP0760                        0.04%
29        SP0887                        0.16%
30        SP0918                        1.01%
31        SP0928                        8.85%
32        SP0935                        0.29%
33        SP0937                        0.19%
34        SP0938                        0.08%
35        SP0939                        0.08%
36        SP0940                        2.41%
37        SP1013                        0.71%
38        SP1015                        0.79%
39        SP1017                        1.21%
40        SP1019                        1.59%
41        SP1021                        3.70%
42        SP1022                        0.23%
43        X006                          2.46%
44        X010                          0.60%
45        X012                          0.12%
46        X026                          5.06%
