编号      名称                          面积百分比
1         SP0075                        1.11%
2         SP0088                        0.22%
3         SP0115                        4.95%
4         SP0116                        3.57%
5         SP0154                        2.23%
6         SP0172                        2.24%
7         SP0208                        8.39%
8         SP0217                        4.46%
9         SP0237                        0.05%
10        SP0238                        0.08%
11        SP0297                        0.25%
12        SP0299                        0.84%
13        SP0428                        0.58%
14        SP0429                        3.53%
15        SP0431                        19.15%
16        SP0677                        1.19%
17        SP0678                        3.46%
18        SP0679                        2.84%
19        SP0681                        2.63%
20        SP0682                        2.00%
21        SP0684                        1.13%
22        SP0713                        0.20%
23        SP0714                        0.37%
24        SP0716                        1.56%
25        SP0719                        2.95%
26        SP0812                        0.74%
27        SP0864                        3.57%
28        SP0919                        0.82%
29        X005                          0.88%
30        X006                          1.22%
31        X007                          1.82%
32        X008                          1.27%
33        X009                          1.36%
34        X010                          1.43%
35        X011                          0.85%
36        X012                          0.39%
37        X013                          0.43%
38        X014                          0.55%
39        X015                          0.17%
40        X017                          0.33%
41        X019                          0.25%
42        X021                          0.10%
43        X022                          0.68%
44        X024                          0.67%
45        X025                          0.60%
46        X026                          0.13%
47        X027                          0.31%
48        X028                          0.02%
49        X029                          0.94%
50        X030                          10.31%
51        X031                          0.18%
